replicate,cycle,fluorescence
8,1,206.12753944961526
8,2,350.4849985139179
8,3,600.2779124915432
8,4,1065.8412015697163
8,5,1900.2486202525456
8,6,3449.657673608898
8,7,6296.5240536987485
8,8,11579.432490984085
8,9,21280.729880784118
8,10,39369.020898778144
8,11,72717.50103335852
8,12,134361.33191593338
8,13,248166.7935730274
8,14,458383.596305634
8,15,846042.1281329481
8,16,1560137.366639579
8,17,2868180.238135322
8,18,5243120.754550103
8,19,9479414.972048922
8,20,16800500.742130287
8,21,28731062.17994428
8,22,46216538.41784186
8,23,67457514.62632813
8,24,86223264.20167276
8,25,96380197.23104787
8,26,99363327.40055016
8,27,99904424.88653165
8,28,99986315.90491863
8,29,99997936.32578175
8,30,99999736.80566849
8,31,100000003.68320349
8,32,100000051.55064653
8,33,100000061.24658182
8,34,100000047.6419784
8,35,100000054.70722605
9,0,145.12607951112392
9,1,225.3028713053686
9,2,356.2652257279941
9,3,617.581675816329
9,4,1111.7093541291672
9,5,2005.6127078686236
9,6,3644.6033726242645
9,7,6695.942990439792
9,8,12328.15031788533
9,9,22696.963758002414
9,10,41839.246085947314
9,11,77181.98106903478
9,12,142596.1985305864
9,13,263351.671675855
9,14,487153.37295949145
9,15,899518.0250393586
9,16,1658539.9242707463
9,17,3047275.7873968524
9,18,5564210.380300425
9,19,10042380.23735174
9,20,17746583.45773166
9,21,30203157.342379123
9,22,48196457.26091206
9,23,69523146.55399439
9,24,87615556.9863589
9,25,96888977.31106114
9,26,99463259.73764743
9,27,99918673.00514913
9,28,99987927.12520626
9,29,99998188.66089226
9,30,99999748.6578065
9,31,99999989.02732526
9,32,100000046.81301294
9,33,100000050.69703905
9,34,100000041.79281761
9,35,100000041.01320359
10,0,139.14619666223967
10,1,224.15952849803008
10,2,373.9873972241088
10,3,631.6362204523859
10,4,1145.0820160416533
10,5,2051.3713487380996
10,6,3703.728333673022
10,7,6806.06331170651
10,8,12525.094306698222
10,9,23200.917012121572
10,10,42760.36797077674
10,11,79078.96800419004
10,12,146311.64096748512
10,13,270576.2865649734
10,14,500354.07091131486
10,15,923693.7255594176
10,16,1702512.0953591045
10,17,3128966.190220015
10,18,5713915.815109245
10,19,10309241.82966621
10,20,18202052.708125398
10,21,30917294.362630155
10,22,49167430.74663006
10,23,70524709.32422511
10,24,88297533.4430537
10,25,97135008.8244326
